status,label,comment_text,status_type,is_instructions,instructions,is_checklist,show_on_samestatus,show_on_changestatus,checklist,statustags
canceled,Canceled,,4,,,,,,,
cancelled_amount_forfeit,9920 - Cancelled - Full Amount Forfeit,,10,,,,,,,
cancelled_rto_pending,94 - RTO Pending (Cancelled) [Processing],,1,,,,,,,
cancel_advance_applied,Advance Applied,,13,,,,,,,
cancel_followup,Canceled - Support to Review,,2,1.0,"1- Verify- address, phone number, Pin Code, gemstone size, advance required if applicable, Ring size & Expected dispatch date. 
2- Direct call. 
3-WhatsApp. 
4- Email. 
5- Need to update comments on Magento 
",1.0,1.0,1.0,"1 -Need to create zendesk TT (Mandatory) 
2- Move it in Initiated Queue if response is awaited / pending. 
3- If approved Need to uncancel and approve the order and need to notify the cx via magento
",
cancel_followup_initiated,Canceled - Support to Handle - Initiated,"Dear xxxx,

Greetings from GemPundit.com!

Concerning your order no -10010xxxx, we would like to inform you that you have placed an order for XXXXXX - XXX carats Unfortunately, payment was unsuccessful, and your order has been canceled. Please let us know if you are experiencing difficulties while ordering, and we will be happy to help you.

Please note that we have a policy of waiting approximately 10-15 minutes for payment confirmation. The system marks the order canceled if no confirmation is received within the stipulated time. It makes the products available to other customers who may be interested in the same product.

For any assistance, you can directly reach me at +91-8595951007 or email me at support@gempundit.com. I'll be glad to help you.
",2,0.0,,0.0,0.0,0.0,,
cancel_followup_notrequired,Canceled - Follow Up not Required,,13,,,,,,,
cancel_followup_sales,Canceled - Sales to Review,,2,1.0,"Please change to ""Canceled - Sales to Handle - Initiated"" once you have taken over the ticket",0.0,0.0,0.0,,
cancel_followup_sales_initiated,Canceled - Sales to Review - Initiated,,2,1.0,"if you receive the order, please uncancel (or uncancel + edit). if its failed, mark as canceled - follow-up not required",0.0,0.0,0.0,,
cancel_techbug_complete,Complete (Techbug Cancelled),,13,,,,,,,
closed,Closed,,10,,,,,,,
closed_adjusted,Closed (Credit Memo Adjusted),,10,,,,,,,
cod_shipped,91 - COD Shipped [Processing],,1,,,,,,,
cod_shipped_problem_logistics,91.2 - COD Shipped (Problem - Logistics to Handle),,1,,,,,,,
cod_shipped_problem_support,91.1 - COD Shipped (Problem - Support to Handle),,4,1.0,"1- Email. 
2- WhatsApp Message. 
3- Exotel Call. 
4- Direct Call.  
5- Need to update comments on Magento . 
",1.0,1.0,1.0,"1- Need to create zendesk TT (Mandatory). 
2- If the issue is resolved needs to move it in 91- COD Shipped. 
3- If the issue is not resolved and action is required from Logistics 91.2- COD logistics to handle. 
4-If the issue is not resolved and action is required from our end then need to keep it in the same queue and follow up with the customer
",
complete,99 - Complete,"Your package has been delivered. Thank you for choosing GemPundit.com. Would love to serve you again. Warm regards GemPundit.com
",11,,,,,,,
complete_create_memo,85 - Create Credit Memo (Adjust) [Complete],,5,,,,,,,
complete_issue_logistics,99.3 - Post-Completion Issue - Logistics to Handle,,1,,,,,,,
complete_issue_ops,99.2 - Post-Completion Issue - Ops to Handle,,3,,,,,,,
complete_issue_support,99.1 - Post-Completion Issue - Support to Handle,,4,,,,,,,
complete_pending_return,31 - Manual RTO Approved - Refund,,"1,4",,,,,,,
complete_refunded,90 - Refund Processed - Money,,10,,,,,,,
complete_refunded_memo_partial,94 - Complete (Partial Amount Adjusted) [Complete],,10,,,,,,,
complete_refunded_money_partial,92 - Refund Processed - Partial Money [Complete],,10,,,,,,,
complete_refunded_storecredit,91 - Refund Processed - Store Credit,,4,,,,,,,
complete_refund_pending_hold,81 - HOLD Processing Refund [Complete],,"4,5",,,,,,,
complete_refund_pending_unhold,82 - UNHOLD Processing Refund [Complete],,"4,5",,,,,,,
complete_refund_successful,Mistake - discarded,,,,,,,,,
complete_remaking,93 - Complete (Remaking),,3,,,,,,,
complete_returned,52 - RTO Received - Manual RTO (Refund),,1,,,,,,,
complete_returned_refund_pending,80 - Processing Refund,,5,,,,,,,
